Hour beginning,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,All days
00:00,84,85,112,82,97,153,188,801
01:00,52,60,68,69,55,121,110,535
02:00,43,35,32,48,50,79,100,387
03:00,40,32,41,47,53,56,88,357
04:00,29,38,41,57,51,57,53,326
05:00,86,76,99,90,80,74,77,582
06:00,246,236,228,222,219,119,74,1.344
07:00,463,484,460,433,434,170,114,2.558
08:00,540,604,602,555,556,216,130,3.203
09:00,354,445,366,458,455,321,187,2.586
10:00,380,425,389,386,433,456,316,2.785
11:00,453,454,392,506,503,496,412,3.216
12:00,488,450,466,463,560,561,495,3.483
13:00,482,499,478,485,635,583,531,3.693
14:00,490,570,589,576,688,617,628,4.158
15:00,643,644,649,713,775,560,551,4.535
16:00,715,728,773,788,769,536,579,4.888
17:00,782,779,808,779,860,549,501,5.058
18:00,573,620,619,620,649,506,423,4.010
19:00,388,386,436,467,521,470,342,3.010
20:00,296,301,316,349,421,354,238,2.275
21:00,233,223,262,259,323,323,269,1.892
22:00,204,228,220,243,285,323,174,1.677
23:00,145,133,159,130,223,258,129,1.177
All hours2,8.209,8.535,8.605,8.825,9.695,7.958,6.709,58.536
